epoch, iters, G_GAN, G_L1, D_real, D_fake
53, 100, 2.929, 27.604, 0.119, 0.099
53, 200, 2.693, 31.395, 0.003, 1.007
53, 300, 3.054, 28.897, 0.045, 0.054
53, 400, 4.988, 31.005, 0.009, 0.018
54, 100, 3.425, 33.748, 0.002, 0.248
54, 200, 2.473, 33.73, 0.006, 0.634
54, 300, 4.523, 39.809, 0.002, 0.04
54, 400, 2.752, 32.251, 0.027, 0.662
55, 100, 2.728, 23.853, 0.026, 0.144
55, 200, 2.332, 28.137, 0.002, 0.745
55, 300, 1.291, 24.679, 1.317, 0.041
55, 400, 0.828, 24.901, 0.866, 0.629
56, 100, 3.024, 26.271, 1.742, 0.009
56, 200, 2.113, 22.046, 0.607, 0.078
56, 300, 2.799, 22.393, 0.22, 0.085
56, 400, 1.853, 18.361, 0.444, 0.198
57, 100, 1.633, 18.754, 0.761, 0.12
57, 200, 3.08, 25.83, 0.029, 0.211
57, 300, 2.323, 27.523, 0.017, 0.6
57, 400, 2.545, 20.924, 0.058, 0.201
58, 100, 1.704, 18.335, 0.254, 0.264
58, 200, 2.46, 23.356, 0.245, 0.092
58, 300, 2.468, 31.61, 0.258, 0.766
58, 400, 1.396, 25.563, 0.923, 0.387
59, 100, 1.266, 25.707, 0.512, 0.094
59, 200, 2.804, 31.326, 0.01, 0.493
59, 300, 2.923, 28.821, 0.197, 0.121
59, 400, 3.015, 25.211, 0.218, 0.07
60, 100, 3.362, 23.598, 0.313, 0.063
60, 200, 3.138, 45.322, 0.0, 0.124
60, 300, 3.006, 40.417, 0.0, 0.132
60, 400, 3.164, 33.83, 0.02, 0.318
61, 100, 3.199, 25.055, 1.106, 0.007
61, 200, 3.202, 22.423, 0.049, 0.139
61, 300, 0.46, 28.099, 1.569, 0.174
61, 400, 3.485, 23.958, 0.141, 0.037
62, 100, 3.324, 29.66, 0.011, 0.08
62, 200, 2.106, 18.476, 3.133, 0.009
62, 300, 3.59, 32.753, 0.0, 0.067
62, 400, 2.226, 20.439, 1.089, 0.023
63, 100, 2.342, 22.432, 0.188, 0.462
63, 200, 3.0, 30.78, 0.057, 0.451
63, 300, 4.099, 27.526, 1.279, 0.009
63, 400, 1.598, 24.932, 0.913, 0.419
64, 100, 4.816, 40.459, 0.046, 0.033
64, 200, 2.535, 24.569, 0.148, 0.12
64, 300, 2.934, 22.747, 0.465, 0.035
64, 400, 0.822, 20.826, 1.909, 0.12
65, 100, 2.858, 27.844, 0.143, 0.075
65, 200, 2.743, 21.142, 0.028, 0.312
65, 300, 3.418, 38.042, 0.176, 0.162
65, 400, 2.344, 25.123, 0.723, 0.08
66, 100, 3.531, 27.051, 0.312, 0.075
66, 200, 3.975, 31.711, 0.152, 0.024
66, 300, 4.739, 29.851, 0.0, 0.025
66, 400, 2.665, 24.172, 0.128, 0.425
67, 100, 3.654, 33.444, 0.002, 0.141
67, 200, 5.685, 34.849, 0.212, 0.011
67, 300, 1.587, 26.336, 1.135, 0.601
67, 400, 1.702, 20.499, 0.825, 0.081
68, 100, 2.995, 24.172, 0.148, 0.199
68, 200, 3.29, 21.546, 0.1, 0.077
68, 300, 2.711, 23.455, 0.036, 0.139
68, 400, 3.568, 33.533, 0.003, 0.8
69, 100, 2.213, 23.59, 0.394, 0.27
69, 200, 2.158, 24.544, 0.348, 0.304
69, 300, 1.913, 16.73, 0.424, 0.163
69, 400, 2.267, 31.482, 0.156, 0.151
70, 100, 3.013, 24.761, 0.196, 0.088
70, 200, 3.923, 37.012, 0.16, 0.088
70, 300, 3.11, 25.116, 0.22, 0.083
70, 400, 4.131, 24.736, 0.431, 0.009
71, 100, 3.289, 29.937, 0.012, 0.269
71, 200, 1.543, 22.321, 0.599, 0.279
71, 300, 6.491, 29.36, 0.482, 0.003
71, 400, 3.087, 23.892, 0.115, 0.068
72, 100, 2.325, 25.712, 0.646, 0.044
72, 200, 4.782, 31.15, 0.0, 1.757
72, 300, 2.334, 26.988, 0.652, 0.019
72, 400, 2.433, 22.422, 0.266, 0.05
73, 100, 3.245, 28.56, 0.046, 0.337
73, 200, 2.129, 21.371, 0.525, 0.075
73, 300, 3.203, 30.373, 0.004, 0.782
73, 400, 2.608, 21.746, 0.302, 0.062
74, 100, 2.23, 24.577, 0.365, 0.043
74, 200, 2.884, 22.488, 0.147, 0.127
74, 300, 0.972, 24.799, 2.191, 0.035
74, 400, 1.623, 14.373, 1.095, 0.031
75, 100, 2.764, 26.018, 0.283, 0.044
75, 200, 5.012, 17.623, 0.033, 0.855
75, 300, 2.029, 23.848, 0.199, 1.39
75, 400, 0.824, 29.381, 0.684, 0.223
76, 100, 2.053, 26.076, 0.943, 0.037
76, 200, 2.22, 33.248, 0.004, 0.232
76, 300, 2.924, 32.99, 0.005, 0.097
76, 400, 2.972, 22.436, 0.017, 0.193
77, 100, 3.377, 25.573, 0.025, 0.152
77, 200, 2.803, 26.161, 0.194, 0.082
77, 300, 2.341, 24.177, 0.569, 0.06
77, 400, 1.653, 26.265, 0.468, 0.498
78, 100, 3.381, 23.097, 0.063, 1.835
78, 200, 4.552, 26.608, 0.033, 0.024
78, 300, 2.575, 26.7, 0.179, 0.097
78, 400, 4.231, 25.94, 0.27, 0.023
79, 100, 2.012, 31.916, 1.254, 0.016
79, 200, 2.18, 25.444, 0.481, 0.111
79, 300, 3.09, 25.367, 0.095, 0.103
79, 400, 4.33, 28.454, 0.019, 0.716
80, 100, 2.994, 23.789, 0.125, 0.091
80, 200, 3.768, 23.417, 0.039, 0.595
80, 300, 4.909, 20.721, 0.0, 0.87
80, 400, 4.544, 21.095, 0.403, 0.003
81, 100, 2.82, 23.5, 0.008, 0.328
81, 200, 3.944, 23.256, 0.029, 0.104
81, 300, 3.567, 27.433, 0.015, 0.324
81, 400, 3.659, 32.538, 0.001, 0.192
82, 100, 3.045, 29.621, 0.009, 0.626
82, 200, 2.461, 19.566, 0.553, 0.039
82, 300, 3.732, 22.072, 0.796, 0.01
82, 400, 0.734, 20.473, 1.77, 0.063
83, 100, 3.621, 24.811, 0.042, 0.342
83, 200, 3.44, 29.686, 0.002, 0.078
83, 300, 3.714, 25.33, 0.087, 0.9
83, 400, 3.893, 31.721, 0.024, 0.671
84, 100, 3.587, 19.752, 0.001, 0.574
84, 200, 3.561, 22.073, 0.032, 0.772
84, 300, 4.465, 23.134, 0.141, 1.075
84, 400, 2.125, 21.756, 0.457, 0.153
85, 100, 2.95, 27.73, 0.238, 0.088
85, 200, 4.526, 24.96, 0.053, 0.018
85, 300, 0.946, 27.203, 1.028, 0.213
85, 400, 2.339, 25.756, 0.299, 0.078
86, 100, 1.613, 22.339, 1.724, 0.009
86, 200, 2.886, 29.231, 0.002, 0.538
86, 300, 3.469, 26.137, 0.167, 0.048
86, 400, 2.678, 36.066, 0.192, 0.111
87, 100, 1.474, 23.185, 0.768, 0.076
87, 200, 3.108, 25.089, 0.009, 0.46
87, 300, 2.573, 25.543, 1.124, 0.048
87, 400, 2.327, 24.854, 0.312, 0.135
88, 100, 3.272, 32.587, 0.744, 0.022
88, 200, 3.415, 29.861, 0.008, 0.212
88, 300, 2.471, 29.262, 1.307, 0.032
88, 400, 2.14, 21.633, 0.266, 0.712
89, 100, 2.105, 20.248, 1.035, 0.095
89, 200, 5.055, 21.501, 0.069, 0.015
89, 300, 5.342, 35.273, 0.005, 0.026
89, 400, 1.81, 20.622, 1.048, 0.049
90, 100, 3.179, 36.476, 0.056, 0.214
90, 200, 3.678, 28.493, 0.133, 0.042
90, 300, 2.032, 19.569, 0.168, 0.064
90, 400, 3.096, 16.318, 0.165, 0.192
91, 100, 2.61, 23.557, 1.479, 0.031
91, 200, 3.344, 24.475, 0.107, 0.055
91, 300, 2.786, 17.19, 0.615, 0.009
91, 400, 3.501, 25.154, 0.068, 0.104
92, 100, 3.435, 20.49, 0.08, 0.155
92, 200, 2.7, 28.733, 0.0, 0.323
92, 300, 4.869, 21.791, 0.028, 1.152
92, 400, 3.105, 24.691, 0.039, 0.268
93, 100, 1.829, 21.661, 0.701, 0.044
93, 200, 2.343, 19.944, 0.219, 0.552
93, 300, 3.767, 22.436, 0.063, 0.055
93, 400, 2.26, 28.752, 0.679, 0.022
94, 100, 3.87, 21.949, 0.113, 1.126
94, 200, 3.401, 24.066, 0.092, 0.488
94, 300, 3.775, 30.98, 0.1, 0.042
94, 400, 4.492, 30.075, 0.002, 1.135
95, 100, 4.992, 24.92, 0.069, 0.005
95, 200, 3.731, 28.809, 0.023, 0.196
